,fit_time,score_time,test_score,train_score,model
0,9.85367727279663,0.2749752998352051,0.5657717247593654,0.9828000081449663,mlp
1,9.101916074752808,0.21566247940063477,0.5871386982316951,0.9780747645765867,mlp
2,9.605651378631592,0.1912696361541748,0.5805818230144302,0.9800094432648857,mlp
3,9.525233745574951,0.18394827842712402,0.5799002399888824,0.978104479743874,mlp
4,9.705562114715576,0.17575383186340332,0.5847229166562241,0.9811463744337241,mlp
5,5.620200872421265,0.2869884967803955,0.5589733340511184,0.968932366008949,custommlp
6,5.633431673049927,0.2207813262939453,0.6062710718031508,0.9691924582871725,custommlp
7,5.633212566375732,0.22093987464904785,0.5814612360936678,0.9685750950629946,custommlp
8,5.60906720161438,0.3085289001464844,0.5740110504171726,0.9690760177578154,custommlp
9,5.616887807846069,0.23363280296325684,0.5730210034953014,0.9712662573157014,custommlp
10,8.145575761795044,1.190413236618042,0.5647245416009413,0.884241884966533,svc_rbf_ovr
11,8.292946338653564,1.2554004192352295,0.5823635194494847,0.8788319877450748,svc_rbf_ovr
12,7.995602130889893,1.3075964450836182,0.588985655747607,0.8773349660177356,svc_rbf_ovr
13,8.33841872215271,1.2019050121307373,0.5979533174192772,0.8836335532277999,svc_rbf_ovr
14,7.893604278564453,1.369189739227295,0.5559181040551276,0.8807105724285706,svc_rbf_ovr
15,4.674331903457642,0.6603467464447021,0.5580906357453058,0.9500613205333162,svc_rbf
16,4.864254951477051,0.5842869281768799,0.5656872100084509,0.9480537671410418,svc_rbf
17,4.977258682250977,0.6247220039367676,0.5735453513812085,0.9501343579944491,svc_rbf
18,4.925056457519531,0.6528050899505615,0.5896959787362983,0.944022911073057,svc_rbf
19,4.860440015792847,0.6532416343688965,0.5487822762901846,0.9496342518642867,svc_rbf
20,855.5076816082001,0.6039118766784668,0.5958506656891827,0.9810122353683568,catboost
21,849.0608441829681,2.4782869815826416,0.5955887842866183,0.9773206329575478,catboost
22,843.359466791153,2.9510905742645264,0.596803970576801,0.9794044808791054,catboost
23,855.7624518871307,0.43625402450561523,0.5932605066508703,0.9770182369538611,catboost
24,854.1610081195831,1.5793585777282715,0.5868619735092084,0.9793972469371477,catboost
